Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,ProducaoOleoMetrosCubicos,Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
2016,01/2016,Alagoas,Alagoas,PARU,4-ALS-39-AL,Mar,Estação de Paru,0,"1264,58",0,"5505,09958","217,145",,,,,,,,
2016,01/2016,Bahia,Camamu,MANATI,7-MNT-1-BAS,Mar,PLATAFORMA DE MANATI 1,0,"317,599",0,"27140,35139","59,693",,,,,,,,
2016,01/2016,Bahia,Camamu,MANATI,7-MNT-2-BAS,Mar,PLATAFORMA DE MANATI 1,0,"345,265",0,"29504,61803","64,897",,,,,,,,
2016,01/2016,Bahia,Camamu,MANATI,7-MNT-3-BAS,Mar,PLATAFORMA DE MANATI 1,0,"317,599",0,"27140,35139","59,693",,,,,,,,
2016,01/2016,Bahia,Camamu,MANATI,7-MNT-4-BAS,Mar,PLATAFORMA DE MANATI 1,0,"346,794",0,"29644,7293","59,276",,,,,,,,
2016,01/2016,Bahia,Camamu,MANATI,7-MNT-5D-BAS,Mar,PLATAFORMA DE MANATI 1,0,"413,486",0,"35412,97231","77,894",,,,,,,,
2016,01/2016,Bahia,Camamu,MANATI,7-MNT-6D-BAS,Mar,PLATAFORMA DE MANATI 1,0,"428,35",0,"36695,025","80,716",,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-173D-BA,Mar,Estação Pedra Branca,"126,77",0,"82,85939",0,"0,022",,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-174D-BA,Mar,Estação Pedra Branca,"8,531",0,"4,7548",0,"0,142",,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-197D-BA,Mar,Estação Pedra Branca,"75,646",0,"99,72167",0,"0,287",,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-201D-BA,Mar,Estação Pedra Branca,"53,405",0,"119,0384",0,"0,202",,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-202D-BA,Mar,Estação Pedra Branca,"2,811",0,"3,13245",0,0,,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-211D-BA,Mar,Estação Pedra Branca,"20,444",0,"21,74448",0,"0,029",,,,,,,,
2016,01/2016,Bahia,Recôncavo,CANDEIAS,7-C-212D-BA,Mar,Estação Pedra Branca,"36,346",0,"30,92555",0,"0,058",,,,,,,,
2016,01/2016,Bahia,Recôncavo,DOM JOÃO MAR,7-DJM-854H-BAS,Mar,Estação Marapé (Dom João Mar),"251,42",0,"2,01123",0,"2188,869",,,,,,,,
2016,01/2016,Bahia,Recôncavo,DOM JOÃO MAR,7-DJM-856H-BAS,Mar,Estação Marapé (Dom João Mar),"132,107",0,"1,05671",0,"3085,223",,,,,,,,
2016,01/2016,Bahia,Recôncavo,DOM JOÃO MAR,7-DJM-857H-BAS,Mar,Estação Marapé (Dom João Mar),"190,632",0,"1,52492",0,"2636,586",,,,,,,,
2016,01/2016,Bahia,Recôncavo,DOM JOÃO MAR,8-DJ-811H-BAS,Mar,Estação Marapé (Dom João Mar),,,,,,0,"2354,402",0,0,0,0,0,0
2016,01/2016,Bahia,Recôncavo,DOM JOÃO MAR,8-DJM-858H-BAS,Mar,Estação Marapé (Dom João Mar),,,,,,0,"1976,029",0,0,0,0,0,0
2016,01/2016,Bahia,Recôncavo,DOM JOÃO MAR,8-DJM-881H-BAS,Mar,Estação Marapé (Dom João Mar),"140,013",0,"1,11995",0,"1998,541",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,7-AT-10D-CES,Mar,PLATAFORMA DE ATUM 3,"2,635",0,"27,22385",0,"2632,365",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,7-AT-13D-CES,Mar,PLATAFORMA DE ATUM 3,"569,709",0,"58,93238",0,"608,033",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,7-AT-22DP-CES,Mar,PLATAFORMA DE ATUM 2,"995,601",0,"77,0504",0,"547,88",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,7-AT-4D-CES,Mar,PLATAFORMA DE ATUM 2,"2312,317",0,"120,86145",0,"1098,623",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,7-AT-7D-CES,Mar,PLATAFORMA DE ATUM 2,"1973,367",0,"291,27063",0,"1122,298",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,7-AT-9D-CES,Mar,PLATAFORMA DE ATUM 3,,,,,,0,"2873,018",0,0,0,0,0,0
2016,01/2016,Ceará,Ceará,ATUM,7-CES-84D-CE,Mar,PLATAFORMA DE ATUM 1,"1345,182",0,"95,54737",0,"628,882",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,8-AT-12D-CES,Mar,PLATAFORMA DE ATUM 3,"61,954",0,"32,95132",0,"2532,154",,,,,,,,
2016,01/2016,Ceará,Ceará,ATUM,8-AT-15D-CES,Mar,PLATAFORMA DE ATUM 3,,,,,,0,"2421,993",0,0,0,0,0,0
2016,01/2016,Ceará,Ceará,ATUM,8-AT-20D-CES,Mar,PLATAFORMA DE ATUM 3,,,,,,0,"878,989",0,0,0,0,0,0
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-11D-CES,Mar,PLATAFORMA DE CURIMÃ 1,"290,516",0,"71,95842",0,"2614,643",,,,,,,,
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-14D-CES,Mar,PLATAFORMA DE CURIMÃ 1,"639,869",0,"92,10436",0,"1597,882",,,,,,,,
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-21D-CES,Mar,PLATAFORMA DE CURIMÃ 1,"1106,956",0,"175,44051",0,"1003,871",,,,,,,,
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-22D-CES,Mar,PLATAFORMA DE CURIMÃ 1,"613,794",0,"64,87048",0,"5720,241",,,,,,,,
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-24D-CES,Mar,PLATAFORMA DE CURIMÃ 1,"1236,987",0,"174,5213",0,"3983,82",,,,,,,,
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-2D-CES,Mar,PLATAFORMA DE CURIMÃ 2,"966,192",0,"211,85172",0,"3864,52",,,,,,,,
2016,01/2016,Ceará,Ceará,CURIMÃ,7-CR-7D-CES,Mar,PLATAFORMA DE CURIMÃ 1,"395,083",0,"143,53362",0,"1167,987",,,,,,,,
