Ano,Mês/Ano,Estado,Bacia,Campo,Poço,Ambiente,Instalação,ProducaoOleoMetrosCubicos,Produção de Condensado (m³),Produção de Gás Associado (Mm³),Produção de Gás Não Associado (Mm³),Produção de Água (m³),Injeção de Gás (Mm³),Injeção de Água para Recuperação Secundária (m³),Injeção de Água para Descarte (m³),Injeção de Gás Carbônico (Mm³),Injeção de Nitrogênio (Mm³),Injeção de Vapor de Água (t),Injeção de Polímeros (m³),Injeção de Outros Fluidos (m³)
2025,11/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-13HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,11/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-8H-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,06/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-13HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,06/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-84HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,06/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-8H-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,03/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-87HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,03/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-13HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,03/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-84HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,03/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-8H-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,05/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-87HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,05/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-13HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,05/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-8H-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,05/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-84HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-84HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-8H-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,ALBACORA,7-ABL-13HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,02/2025,Rio de Janeiro,Campos,POLVO,7-POL-15H-RJS,MAR,Polvo A,0,0,0,0,0,,,,,,,,
2025,03/2025,Rio de Janeiro,Campos,POLVO,7-POL-15H-RJS,MAR,Polvo A,0,0,0,0,0,,,,,,,,
2025,01/2025,Espírito Santo,Espírito Santo,PEROÁ,6-BRSA-475-ESS,MAR,Plataforma 3R-1,0,0,0,0,0,,,,,,,,
2025,01/2025,Espírito Santo,Espírito Santo,PEROÁ,7-PER-1-ESS,MAR,Plataforma 3R-1,0,0,0,0,0,,,,,,,,
2025,01/2025,Espírito Santo,Espírito Santo,PEROÁ,7-PER-2-ESS,MAR,Plataforma 3R-1,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,ALBACORA LESTE,7-ABL-84HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,ALBACORA LESTE,7-ABL-13HP-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,ALBACORA LESTE,7-ABL-8H-RJS,MAR,FPSO FORTE,0,0,0,0,0,,,,,,,,
2025,07/2025,Rio de Janeiro,Campos,POLVO,7-POL-15H-RJS,MAR,Polvo A,0,0,0,0,0,,,,,,,,
2025,07/2025,Espírito Santo,Espírito Santo,PEROÁ,7-PER-1-ESS,MAR,Plataforma 3R-1,0,0,0,0,0,,,,,,,,
2025,07/2025,Espírito Santo,Espírito Santo,PEROÁ,7-PER-2-ESS,MAR,Plataforma 3R-1,0,0,0,0,0,,,,,,,,
2025,07/2025,Espírito Santo,Espírito Santo,CANGOÁ,7-CAN-1D-ESS,MAR,Unidade de Tratamento de Gás de Cacimbas,0,0,0,0,0,,,,,,,,
2025,02/2025,Espírito Santo,Campos,ABALONE,7-ABA-2D-ESS,MAR,FPSO ESPIRITO SANTO,0,0,0,0,0,,,,,,,,
